Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
SodaMusic,Application,Render,REDMI 电脑音箱 2 Pro,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f485c24e-61bc-41ee-a190-932ede7fc1cb}|\Device\HarddiskVolume4\SoftwareInstall\qishuiyinyue\Soda Music\3.1.2\SodaMusic.exe%b{00000000-0000-0000-0000-000000000000}|1%b12756,REDMI 电脑音箱 2 Pro\Application\SodaMusic,D:\SoftwareInstall\qishuiyinyue\Soda Music\3.1.2\SodaMusic.exe,12756,,,,
System Sounds,Application,Render,High Definition Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{2fc756e9-879e-4d2c-8465-d3cbfeaf25fe}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,High Definition Audio Device\Application\System Sounds,,,,,,
System Sounds,Application,Render,HyperX Cloud III,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1dea5a10-3bc6-478b-8c92-d0d3b952582d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,HyperX Cloud III\Application\System Sounds,,,,,,
System Sounds,Application,Capture,EMEET SmartCam C60E 4K,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{16e45773-bdd1-4ab0-a4b1-fb514b40832e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,EMEET SmartCam C60E 4K\Application\System Sounds,,,,,,
System Sounds,Application,Capture,HyperX Cloud III,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{121e5a9d-dc8e-403e-8fcb-dbc1385f488d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,HyperX Cloud III\Application\System Sounds,,,,,,
System Sounds,Application,Capture,REDMI 电脑音箱 2 Pro,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{99777edc-a8ae-4ea3-a775-508f2801fee1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,REDMI 电脑音箱 2 Pro\Application\System Sounds,,,,,,
System Sounds,Application,Render,REDMI 电脑音箱 2 Pro,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f485c24e-61bc-41ee-a190-932ede7fc1cb}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,REDMI 电脑音箱 2 Pro\Application\System Sounds,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{4ba57de0-0a2e-4d6d-a227-b625cfd9ca0a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,
Trae CN,Application,Render,REDMI 电脑音箱 2 Pro,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f485c24e-61bc-41ee-a190-932ede7fc1cb}|\Device\HarddiskVolume4\SoftwareInstall\Trae CN\Trae CN.exe%b{00000000-0000-0000-0000-000000000000}|1%b5748,REDMI 电脑音箱 2 Pro\Application\Trae CN,D:\SoftwareInstall\Trae CN\Trae CN.exe,5748,,,,
扬声器,Device,Render,REDMI 电脑音箱 2 Pro,Render,Render,Render,Active,No,-20.79 dB,24.0%,-60.00 dB,0.00 dB,0.50 dB,2,"-20.79 dB, -20.79 dB","24.0%, 24.0%",{0.0.0.00000000}.{f485c24e-61bc-41ee-a190-932ede7fc1cb},REDMI 电脑音箱 2 Pro\Device\扬声器\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{f485c24e-61bc-41ee-a190-932ede7fc1cb},0x3 0x0 0x0,"2 Channel, 24 bit, 48000 Hz"
